seed,seq_len,lr,num_layers,Train RMSE,Val RMSE,Test RMSE
42,30,0.0001,1,14.696653120556483,13.352016160182336,13.264807614047825
42,30,0.0001,2,14.348764331164148,13.723972596368181,13.45409091084325
42,30,0.0001,4,14.497603517177248,13.697949637437356,13.57873514741806
42,30,0.0005,1,13.994007879659527,13.034611134725665,13.815534269088777
42,30,0.0005,2,13.36977386182545,14.257004938076303,14.49753494842564
42,30,0.0005,4,16.720515000435984,14.829159906710426,14.040501018131563
42,30,0.001,1,14.25622363459951,13.303735903592665,14.295775730499859
42,30,0.001,2,15.807191592401589,14.244369836799253,13.610218145136859
42,30,0.001,4,16.00013812495129,14.71693719431485,13.93976862636462
42,50,0.0001,1,13.14303497638995,12.028998113204375,12.857628017142666
42,50,0.0001,2,12.865087327140222,12.078445092850938,13.19977123605401
42,50,0.0001,4,11.757991281280495,11.733510197832464,14.204648185332763
42,50,0.0005,1,12.748421451789053,12.077753066771763,13.771932624296447
42,50,0.0005,2,13.120427421298743,12.427045652687134,13.444808357441723
42,50,0.0005,4,13.052596535915594,13.016357391806583,14.781945645099354
42,50,0.001,1,12.842222068606954,11.76916065283649,13.163588414786608
42,50,0.001,2,12.385873094668804,12.324285303200313,13.217147296459457
42,50,0.001,4,12.89769507250939,12.48716122846395,13.389297552278588
42,70,0.0001,1,12.289359802416238,11.479658164600089,12.227169236233005
42,70,0.0001,2,12.113672133377106,11.552802379777914,13.016100095017421
42,70,0.0001,4,11.16361216658127,11.78055169270121,14.77304414447999
42,70,0.0005,1,12.43373040775448,12.069897588636914,12.490194746353733
42,70,0.0005,2,12.635745086260865,11.686201259707767,13.437124640670527
42,70,0.0005,4,7.486374465652573,12.110595118013615,15.7440713512781
42,70,0.001,1,12.09280533385862,11.9270567201026,12.670926558880916
42,70,0.001,2,8.787385165721897,11.847146660544048,14.056380924438505
42,70,0.001,4,6.986762267249622,12.164034945986826,15.092862719786307
1234,30,0.0001,1,14.99808692080611,13.452589372999576,13.446991505492994
1234,30,0.0001,2,15.334009019851448,13.94746274477705,13.671720804554791
1234,30,0.0001,4,13.392649785328036,13.8054769848743,14.09582545666473
1234,30,0.0005,1,13.422344592070143,13.260512735819416,14.350092014382335
1234,30,0.0005,2,15.67560234415063,13.777895177932638,13.674086225937101
1234,30,0.0005,4,14.721748805835817,13.979516016337662,13.558841903365733
1234,30,0.001,1,13.763440928510832,12.804585379655508,14.095635251747376
1234,30,0.001,2,16.081322200122596,14.668377543473698,14.391214943590107
1234,30,0.001,4,42.31543689851958,41.78508612112491,38.15541992198345
1234,50,0.0001,1,14.063201549784251,12.022023346602356,12.885669830117676
1234,50,0.0001,2,13.705195720386863,12.29685239391771,13.443781444310536
1234,50,0.0001,4,12.916456754841754,13.186690036372566,13.81626266456993
1234,50,0.0005,1,11.697812491356993,10.880819014137778,12.416060404902682
1234,50,0.0005,2,13.683370835626379,12.32787471893009,13.767603523267296
1234,50,0.0005,4,14.276537821938398,12.772934927322888,13.276961293587481
1234,50,0.001,1,12.613315192191761,11.209311803971616,12.102623108332638
1234,50,0.001,2,13.61447261261214,12.590696376809642,13.702288772038587
1234,50,0.001,4,14.395014198907425,12.346498738656996,12.629350381589425
1234,70,0.0001,1,12.199777204930331,11.178486681819388,12.309121927029228
1234,70,0.0001,2,12.520798831648339,11.795596214590363,13.810979488405186
1234,70,0.0001,4,11.297909283941166,11.084471410944673,13.426413957663048
1234,70,0.0005,1,11.981999940238165,11.46734504373769,12.855836770525427
1234,70,0.0005,2,8.348644818696583,11.857921043828627,14.126931062864756
1234,70,0.0005,4,12.435350365002778,11.980009236018349,13.078103336631733
1234,70,0.001,1,10.288156332719534,10.924849488076891,13.313673780807575
1234,70,0.001,2,12.388500078922617,11.43926837821232,13.724260624867968
1234,70,0.001,4,10.399671841021528,11.608910017516068,13.938688443032499
999,30,0.0001,1,14.613301473583055,13.249143415615356,12.987423108598547
999,30,0.0001,2,14.953044532294593,13.899967921024523,13.56502112684568
999,30,0.0001,4,15.41375956811936,14.227578888323078,13.81527496400124
999,30,0.0005,1,14.224402154536122,13.441567933566095,13.418480476611396
999,30,0.0005,2,15.394820965673478,13.715082761481415,13.65767217675711
999,30,0.0005,4,14.678233895579769,13.846336786072861,14.54094757943234
999,30,0.001,1,14.252202755265738,13.153914136632803,13.930552462603696
999,30,0.001,2,13.190952181151752,13.507513795480412,14.399167506989732
999,30,0.001,4,15.588281179118397,14.516156268145702,14.297173870783887
999,50,0.0001,1,13.337416122176965,11.72011027531902,12.869947871589709
999,50,0.0001,2,13.421146793774911,11.99128258168694,13.440537649783211
999,50,0.0001,4,13.021092741701956,11.876279425357366,13.619834979862238
999,50,0.0005,1,13.12870181202734,11.842322383683127,13.366745645332141
999,50,0.0005,2,14.264738868242123,12.52053333712446,13.69366093156835
999,50,0.0005,4,13.691766897943523,12.425895874552618,13.628712657830807
999,50,0.001,1,13.131522145336643,11.835327913718205,13.429298055063652
999,50,0.001,2,14.254765188271879,13.145099718461315,13.799493661356085
999,50,0.001,4,13.145799814491228,12.293697327850614,13.328869604716179
999,70,0.0001,1,12.238739903754393,11.573698435940974,12.315115682130205
999,70,0.0001,2,11.869801228078229,12.034176716680856,13.277092243543763
999,70,0.0001,4,11.811205899820203,12.264154517857556,13.760781999628831
999,70,0.0005,1,12.37542133605483,11.487727789449528,12.250354416493995
999,70,0.0005,2,10.23152350495897,11.71653233704715,15.845840512890545
999,70,0.0005,4,6.431117839180274,11.434093281743069,15.004263584859267
999,70,0.001,1,12.105280360085152,11.43664848931315,12.185387958579277
999,70,0.001,2,12.110634279662612,11.957230240254296,13.730509080759987
999,70,0.001,4,10.5233033470781,11.173558688790425,13.671513745992677
